AssetClass,AssetCount,TotalCompressedSize
/Script/Engine.Texture2D,1339,1812395731
/Script/NNE.NNEModelData,16,422439994
/Script/Engine.World,102,213636502
/Script/Engine.StaticMesh,856,110607630
/Script/Engine.SkeletalMesh,80,94732396
/Script/Engine.MapBuildDataRegistry,6,35463565
/Script/Engine.SoundWave,605,21406905
/Script/Engine.AnimSequence,445,11086413
/Script/Engine.TextureCube,3,10861192
/Script/Engine.VolumeTexture,6,6814525
/Script/Engine.MaterialInstanceConstant,712,4400450
/Script/Engine.Material,301,1976098
/Script/Engine.Blueprint,1138,1759673
/Script/Engine.VectorFieldStatic,3,1618186
/Script/Engine.Texture2DArray,3,1330695
/Script/Synthesis.AudioImpulseResponse,6,867737
/Script/Niagara.NiagaraSystem,42,784260
/Script/UMGEditor.WidgetBlueprint,163,521464
/Script/MetasoundEngine.MetaSoundSource,54,271778
/Script/Engine.PoseAsset,29,252425
/Script/Engine.AnimBlueprint,22,149199
/Script/ControlRigDeveloper.ControlRigBlueprint,4,146558
/Script/AFLCombat.AFLSkinColorAsset,213,143764
/Script/Engine.Skeleton,77,135567
/Script/AFLCombat.AFLWeaponCosmeticAsset,197,98054
/Script/Engine.MaterialFunction,208,85121
/Script/MetasoundEngine.MetaSoundPatch,24,68855
/Script/OptimusCore.OptimusDeformer,5,66309
/Script/IKRig.IKRigDefinition,2,65178
/Script/Engine.UserDefinedEnum,83,64535
/Script/Engine.Font,5,46253
/Script/Engine.AnimMontage,50,41095
/Script/AFLCosmeticCore.AFLCosmeticCatalog,1,39997
/Script/LyraGame.LyraUserFacingExperienceDefinition,34,32417
/Script/Engine.CurveLinearColorAtlas,6,29382
/Script/LyraGame.LyraAbilitySet,38,21839
/Script/EnhancedInput.InputAction,36,20548
/Script/LyraGame.LyraExperienceActionSet,20,20094
/Script/Engine.CurveLinearColor,32,18740
/Script/LevelSequence.LevelSequence,3,16831
/Script/Engine.PhysicsAsset,6,13583
/Script/InterchangePipelines.InterchangeGenericAssetsPipeline,4,12607
/Script/LyraGame.LyraWeaponPickupDefinition,14,12333
/Script/Engine.DataTable,19,12224
/Script/GameplayAbilities.GameplayAbilityBlueprint,6,10320
/Script/Engine.FontFace,21,8380
/Script/Foliage.FoliageType_InstancedStaticMesh,11,7808
/Script/AIModule.BehaviorTree,3,7051
/Script/GameFeatures.GameFeatureData,10,6990
/Script/Engine.SoundAttenuation,16,6886
/Script/EnhancedInput.InputMappingContext,5,6274
/Script/Engine.DataLayerAsset,19,6187
/Script/CoreUObject.UserDefinedStruct,8,6123
/Script/Engine.SoundClass,11,6015
/Script/LyraGame.LyraPawnData,8,5906
/Script/ControlRig.ControlRigShapeLibrary,3,5800
/Script/Engine.SoundSubmix,11,5776
/Script/Engine.MaterialParameterCollection,5,5723
/Script/Engine.AimOffsetBlendSpace,4,5625
/Script/Landscape.LandscapeGrassType,7,5278
/Script/LyraGame.LyraInputConfig,6,4926
/Script/AIModule.EnvQuery,6,4874
/Script/Engine.SoundCue,6,4459
/Script/NNEDenoiser.NNEDenoiserAsset,6,4352
/Script/MetaHumanCoreTech.MetaHumanRealtimeSmoothingParams,1,4017
/Script/AudioModulation.SoundModulationPatch,6,3919
/Script/Landscape.LandscapeLayerInfoObject,10,3902
/Script/Engine.CurveFloat,9,3620
/Script/AFLCosmeticCore.AFLColorIdentityRegistry,1,3588
/Script/StateTreeModule.StateTree,1,3331
